AATS2i,BIC3,ETA_BetaP_s,GATS6m,IC2,JGI3,MDEN-22,MLFER_BO,WTPT-5,maxHother,maxaaN,maxssNH,nT6HeteroRing
-1.703623692,-1.324668483,-1.219875122,-1.064760336,-1.185109629,-1.084729663,-0.768225009,-1.407457379,-0.966529144,-0.869627539,1.095453926,-2.058507018,-0.443869406
-1.041152335,1.182584042,-2.436423388,0.903130853,-1.63916037,0.238485424,-1.584843434,-1.309509828,-2.092134234,-1.155106364,-1.70372416,-2.058507018,-1.594647204
-1.729664558,-0.632189564,-1.205799986,-0.117885137,-1.41566484,-1.349372703,0.179131512,-0.547580982,-0.471597292,-2.094091805,0.430299037,0.726537819,0.706908392
1.288668327,-1.24283891,1.918119451,0.407886064,-0.300456352,-0.880232846,-0.947148828,-0.02381934,0.142235676,0.3901994,0.651981586,-2.058507018,0.706908392
0.592697961,-2.227939201,0.981552275,0.830068739,-0.919362324,-1.046603157,-0.947148828,-0.025881394,0.14851149,0.556788046,0.485894958,-0.276944261,0.706908392
-0.019670511,-0.331661416,-0.099189947,0.475785725,-1.2074502,0.431296774,0.740670591,-0.220745469,-0.460153712,-2.757855937,-1.70372416,1.474691849,-0.443869406
-0.973497831,-1.16639219,-0.867616306,0.290783412,-2.584715154,-2.063908854,-0.316131775,-1.489939527,-0.981703035,0.209301028,-0.044755332,0.606207712,-0.443869406
-1.665600823,-1.158430453,-0.963859805,1.626555098,-1.642395158,0.431296774,-0.316131775,-1.346626795,-0.977719937,-0.0786087,0.529818017,1.168318785,-0.443869406
0.189160061,-2.513015176,0.606088504,0.334259398,-0.886015263,1.429379048,-1.584843434,0.32363671,-0.313698817,-1.584015265,-1.70372416,-1.214404365,-1.594647204
0.223982119,-1.747425964,-0.542366535,0.902417872,-0.177977018,-0.353707619,-0.555968689,-0.02381934,0.140429749,-1.662748565,1.164232373,-0.129057253,-0.443869406
-0.019670511,-0.331661416,-0.099189947,0.475785725,-1.2074502,0.431296774,0.740670591,-0.220745469,-0.460153712,-2.757855937,-1.70372416,1.474691849,-0.443869406
-2.194529583,-2.513015176,-1.586209075,2.396643668,-2.866796663,2.295483408,-1.584843434,-1.808526826,-1.445718026,-1.094052814,0.122364663,-2.058507018,-1.594647204
